,crop_year,field,variety,Acres,mature_1,is_organic,Total Strings
0,2024,#67,HBC 682,36.02,1,0,64043.56
1,2024,#68,HBC 682,35.4,1,0,62941.2
2,2024,#50,HBC 682,33.54,1,0,59634.12
3,2024,#77,HBC 682,22.97,1,0,40840.66
4,2024,#79,HBC 682,33.96,1,0,60380.88
5,2024,Whitener,HBC 682,32.45,1,0,57696.1
6,2024,#13,HBC 682,3.5,1,1,6223.0
7,2024,#13,HBC 682,9.15,1,1,8134.35
8,2024,#84,Idaho 7,19.04,1,0,33853.12
9,2024,#83,Talus,11.18,1,0,19878.04
10,2024,#7,Talus,18.5,1,0,32893.0
11,2024,#52,Citra,8.82,1,0,15681.96
12,2024,Rice 40,Citra,32.56,1,0,57891.68
13,2024,#5,Citra,35.3,1,0,62763.4
14,2024,#59,Citra,33.26,0,0,59136.28
15,2024,#60,Citra,33.22,0,0,59065.16
16,2024,#64,Citra,17.31,0,0,38471.475
17,2024,#1,Citra,36.14,1,0,74954.36
18,2024,Lock 40,Citra,17.6,1,0,36502.4
19,2024,#4,Citra,27.77,1,1,61718.825
20,2024,BHM Organic,Citra,6.36,1,1,16962.12
21,2024,#7,Experimental,1.9,1,0,3378.2
22,2024,"#72,",Experimental,18.88,1,0,33568.64
23,2024,#76,Experimental,9.42,1,0,16748.76
24,2024,Tri 40,Palisade,18.2,1,0,32359.6
25,2024,"#72,",Palisade,10.79,1,0,9592.31
26,2024,#2,Simcoe,36.43,1,0,64772.54
27,2024,#3,Simcoe,36.44,1,0,97185.48
28,2024,#14,Simcoe,17.58,1,0,46885.86
29,2024,#15,Simcoe,34.65,1,0,92411.55
30,2024,#16,Simcoe,31.23,1,0,83290.41
31,2024,#6,Simcoe,31.26,1,0,83370.42
32,2024,#47,Simcoe,44.83,1,0,119561.61
33,2024,#74,Simcoe,35.82,1,0,95531.94
34,2024,#81,Simcoe,33.99,1,0,90651.33
35,2024,#82,Simcoe,35.14,1,0,93718.38
36,2024,#8,Simcoe,26.87,1,0,55728.38
37,2024,#75,Simcoe,32.24,0,0,57322.72
38,2024,#4,Simcoe,2.62,1,1,5822.95
39,2024,#85,Simcoe,15.0,0,1,31110.0
40,2024,#11,Simcoe,10.63,1,1,23625.175
41,2024,BHM Organic,Simcoe,7.83,1,1,20882.61
42,2024,#62,Mosaic,34.29,0,0,60967.62
43,2024,#63,Mosaic,34.72,0,0,61732.16
44,2024,#65,Mosaic,27.57,1,0,49019.46
45,2024,#66,Mosaic,35.51,1,0,63136.78
46,2024,#69,Mosaic,37.38,1,0,66461.64
47,2024,#70,Mosaic,33.61,1,0,59758.58
48,2024,#73,Mosaic,34.13,1,0,60683.14
49,2024,#80,Mosaic,37.29,1,0,66301.62
50,2024,BHM Organic,Mosaic,0.764,1,1,2037.588
51,2024,#85,Mosaic,4.58,0,1,9498.92
52,2024,#7,HBC 586,15.09,1,0,26830.02
53,2024,#83,HBC 586,19.35,1,0,34404.3
54,2024,#84,HBC 586,19.04,1,0,33853.12
55,2024,Waterberry,HBC 586,9.96,1,0,20657.04
56,2024,#9,HBC 586,13.43,1,1,29848.175
57,2024,#85,HBC 586,12.2,0,1,25302.8
58,2024,#86,HBC 586,2.97,0,1,3079.89
59,2024,#78,Sabro,35.01,1,0,62247.78
60,2024,"#8,",HBC 1019,4.89,1,0,10141.86
61,2024,#12,Cascade,7.89,1,1,14028.42
62,2024,Tri 40,HBC 638,14.85,1,0,26403.3
63,2024,Waterberry,HBC 522,16.0,1,0,33184.0
