,variety,start_date,ShiftHours,BreakTime
0,Citra,2024-09-03 08:00:00,7.333,10.0
1,Citra,2024-09-03 15:30:00,7.333,10.0
2,Citra,2024-09-03 23:00:00,7.333,10.0
3,Citra,2024-09-04 06:30:00,7.333,10.0
4,Citra,2024-09-04 14:00:00,7.333,10.0
5,Citra,2024-09-04 21:30:00,7.333,10.0
6,Citra,2024-09-05 05:00:00,7.333,10.0
7,Citra,2024-09-05 12:30:00,4.885,10.0
8,Experimental,2024-09-28 08:00:00,6.324,10.0
9,HBC 1019,2024-09-13 08:00:00,2.912,0.0
10,HBC 522,2024-09-16 08:00:00,7.333,10.0
11,HBC 522,2024-09-16 15:30:00,7.333,10.0
12,HBC 522,2024-09-16 23:00:00,0.507,0.0
13,HBC 586,2024-09-26 08:00:00,7.333,10.0
14,HBC 586,2024-09-26 15:30:00,7.333,10.0
15,HBC 586,2024-09-26 23:00:00,7.333,10.0
16,HBC 586,2024-09-27 06:30:00,4.252,10.0
17,HBC 638,2024-09-25 08:00:00,7.333,10.0
18,HBC 638,2024-09-25 15:30:00,2.047,0.0
19,HBC 682,2024-09-20 08:00:00,7.333,10.0
20,HBC 682,2024-09-20 15:30:00,7.333,10.0
21,HBC 682,2024-09-20 23:00:00,7.333,10.0
22,HBC 682,2024-09-21 06:30:00,7.333,10.0
23,HBC 682,2024-09-21 14:00:00,7.333,10.0
24,HBC 682,2024-09-21 21:30:00,7.333,10.0
25,HBC 682,2024-09-23 08:00:00,7.333,10.0
26,HBC 682,2024-09-23 15:30:00,7.333,10.0
27,HBC 682,2024-09-23 23:00:00,5.658,10.0
28,Idaho 7,2024-09-17 08:00:00,7.333,10.0
29,Idaho 7,2024-09-17 15:30:00,6.516,10.0
30,Mosaic,2024-09-07 08:00:00,7.333,10.0
31,Mosaic,2024-09-07 15:30:00,7.333,10.0
32,Mosaic,2024-09-07 23:00:00,7.333,10.0
33,Mosaic,2024-09-09 08:00:00,7.333,10.0
34,Mosaic,2024-09-09 15:30:00,7.333,10.0
35,Mosaic,2024-09-09 23:00:00,7.333,10.0
36,Mosaic,2024-09-10 06:30:00,7.333,10.0
37,Mosaic,2024-09-10 14:00:00,7.333,10.0
38,Mosaic,2024-09-10 21:30:00,7.333,10.0
39,Mosaic,2024-09-11 05:00:00,7.333,10.0
40,Mosaic,2024-09-11 12:30:00,7.333,10.0
41,Mosaic,2024-09-11 20:00:00,7.333,10.0
42,Mosaic,2024-09-12 03:30:00,7.333,10.0
43,Mosaic,2024-09-12 11:00:00,3.587,0.0
44,Palisade,2024-09-14 08:00:00,7.333,10.0
45,Palisade,2024-09-14 15:30:00,3.717,0.0
46,Sabro,2024-09-06 08:00:00,7.333,10.0
47,Sabro,2024-09-06 15:30:00,7.333,10.0
48,Sabro,2024-09-06 23:00:00,0.498,0.0
49,Simcoe,2024-08-26 06:00:00,7.333,10.0
50,Simcoe,2024-08-26 13:30:00,7.333,10.0
51,Simcoe,2024-08-26 21:00:00,7.333,10.0
52,Simcoe,2024-08-27 04:30:00,7.333,10.0
53,Simcoe,2024-08-27 12:00:00,7.333,10.0
54,Simcoe,2024-08-27 19:30:00,7.333,10.0
55,Simcoe,2024-08-28 03:00:00,7.333,10.0
56,Simcoe,2024-08-28 10:30:00,7.333,10.0
57,Simcoe,2024-08-28 18:00:00,7.333,10.0
58,Simcoe,2024-08-29 01:30:00,7.333,10.0
59,Simcoe,2024-08-29 09:00:00,7.333,10.0
60,Simcoe,2024-08-29 16:30:00,7.333,10.0
61,Simcoe,2024-08-30 00:00:00,7.333,10.0
62,Simcoe,2024-08-30 07:30:00,7.333,10.0
63,Simcoe,2024-08-30 15:00:00,7.333,10.0
64,Simcoe,2024-08-30 22:30:00,7.333,10.0
65,Simcoe,2024-08-31 06:00:00,7.333,10.0
66,Simcoe,2024-08-31 13:30:00,7.333,10.0
67,Simcoe,2024-08-31 21:00:00,7.333,10.0
68,Simcoe,2024-09-02 08:00:00,6.223,10.0
69,Talus,2024-09-18 08:00:00,7.333,10.0
70,Talus,2024-09-18 15:30:00,7.333,10.0
71,Talus,2024-09-18 23:00:00,1.42,0.0
